id	GrowingArea	Production
Hokkaido	0	0
Aomori	0	0
Iwate	3	0
Miyagi	14	0
Akita	0	0
Yamagata	0	0
Fukushima	1	0
Ibaraki	450	149
Tochigi	69	0
Gunma	53	0
Saitama	968	3010
Chiba	220	0
Tokyo	144	0
Kanagawa	275	0
Niigata	20	0
Toyama	3	0
Ishikawa	4	0
Fukui	3	0
Yamanashi	132	0
Nagano	84	0
Gifu	982	2820
Shizuoka	18700	151300
Aichi	635	4530
Mie	3180	34200
Shiga	645	3270
Kyoto	1580	13100
Osaka	0	0
Hyogo	164	0
Nara	739	7380
Wakayama	33	0
Tottori	11	0
Shimane	208	0
Okayama	129	0
Hiroshima	75	0
Yamaguchi	90	0
Tokushima	294	0
Kagawa	110	0
Ehime	143	0
Kochi	482	1440
Fukuoka	1580	10400
Saga	992	7190
Nagasaki	754	3650
Kumamoto	1600	7020
Oita	431	0
Miyazaki	1580	17700
Kagoshima	8670	115000
Okinawa	40	0
